RegionID,SizeRank,RegionName,RegionType,StateName,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30
102001,0,United States,country,,183667.0,186667.0,190000.0,192333.0,192000.0,187000.0,182633.0,177363.0,174363.0,170730.0,169000.0,168000.0,167633.0,169633.0,173633.0,177667.0,178667.0,175333.0,171333.0,168500.0,168500.0,169167.0,168333.0,168333.0,167333.0,169167.0,171833.0,177167.0,180000.0,178967.0,174467.0,171433.0,169800.0,168300.0,165667.0,162967.0,162300.0,164133.0,168400.0,170733.0,170900.0,166667.0,163300.0,160633.0,159649.0,158016.0,156316.0,156633.0,160633.0,166667.0,173333.0,177333.0,178000.0,174933.0,171900.0,170867.0,171600.0,169967.0,168333.0,169000.0,174000.0,181333.0,188767.0,194767.0,195933.0,191833.0,187467.0,183300.0,183300.0,181633.0,181300.0,181267.0,184300.0,189633.0,195667.0,199333.0,200667.0,196685.0,193319.0,190319.0,190783.0,189817.0,189723.0,190906.0,195240.0,201967.0,208300.0,212467.0,212030.0,208030.0,203863.0,201000.0,201333.0,201300.0,199633.0,199133.0,202500.0,209167.0,216667.0,220000.0,221433.0,218100.0,216067.0,214633.0,214300.0,213167.0,211500.0,211833.0,215667.0,221333.0,228000.0,231667.0,232667.0,229333.0,226667.0,225000.0,225000.0,225000.0,225333.0,227667.0,231167.0,235833.0,240833.0,243333.0,243300.0,239267.0,235600.0,233633.0,232667.0,232000.0,230667.0,233300.0,238300.0,245300.0,251667.0,255000.0,255333.0,252333.0,250633.0,249933.0,249933.0,248967.0,249000.0,252300.0,256633.0,258300.0,260333.0,266333.0,274667.0,280333.0,282667.0,284333.0,285000.0,283333.0,283333.0,288300.0,298300.0,308300.0,316667.0,321667.0,324000.0,322333.0,321500.0,322500.0,324167.0,323333.0,325000.0,332167.0,345500.0,357167.0,363333.0,360000.0,353333.0,345000.0,340000.0,333333.0,326667.0,321667.0,323300.0,329967.0,339967.0,350000.0,359167.0
394913,1,"New York, NY",msa,NY,398553.0,398500.0,401667.0,408000.0,414500.0,412833.0,401500.0,387100.0,378433.0,371983.0,368217.0,361883.0,357333.0,355333.0,357000.0,364667.0,370833.0,374167.0,369167.0,365667.0,362000.0,364000.0,365000.0,362000.0,360000.0,360000.0,367333.0,377333.0,387000.0,,,322500.0,,367500.0,368333.0,365000.0,363333.0,360933.0,365933.0,374267.0,378333.0,380000.0,368333.0,355000.0,343333.0,340000.0,338333.0,339167.0,340833.0,349167.0,358917.0,368917.0,372250.0,370000.0,363333.0,356667.0,351667.0,348333.0,345000.0,340675.0,338509.0,345175.0,357833.0,373333.0,382500.0,382167.0,373833.0,361333.0,354167.0,354833.0,356500.0,355667.0,351667.0,353333.0,363333.0,375000.0,385000.0,381667.0,373333.0,363333.0,360217.0,363550.0,362767.0,361883.0,358550.0,364333.0,374983.0,384983.0,391383.0,388650.0,381981.0,373247.0,369331.0,369333.0,369167.0,365833.0,364167.0,366667.0,379000.0,390667.0,398667.0,394667.0,387167.0,379600.0,374600.0,375433.0,375000.0,375833.0,377500.0,382500.0,395000.0,406667.0,415000.0,410000.0,398333.0,389667.0,386333.0,388000.0,386333.0,389667.0,391833.0,398167.0,406500.0,416000.0,422000.0,417000.0,407333.0,400333.0,395667.0,394589.0,393922.0,393589.0,394333.0,396667.0,408333.0,418333.0,425000.0,420667.0,415000.0,409667.0,409000.0,411333.0,411667.0,413333.0,416667.0,421667.0,428333.0,433333.0,441667.0,449333.0,456000.0,462667.0,465000.0,468333.0,469167.0,470833.0,475833.0,483333.0,499379.0,512712.0,522712.0,523333.0,518333.0,512333.0,509000.0,509000.0,510000.0,513333.0,524333.0,537667.0,554333.0,565000.0,571667.0,563333.0,546667.0,531073.0,520773.0,519106.0,513066.0,513367.0,520033.0,540000.0,561667.0
753899,2,"Los Angeles, CA",msa,CA,498333.0,495000.0,490583.0,480583.0,467250.0,452667.0,441000.0,426000.0,416667.0,400500.0,398833.0,393833.0,395000.0,397167.0,405500.0,413500.0,413000.0,412333.0,407667.0,405667.0,399000.0,394667.0,388333.0,387333.0,388417.0,396750.0,396750.0,400000.0,396667.0,398333.0,391667.0,389333.0,384333.0,381000.0,376667.0,376667.0,380000.0,383333.0,385000.0,388333.0,385000.0,381667.0,371667.0,366667.0,358333.0,353333.0,350000.0,354167.0,364167.0,373500.0,379333.0,384333.0,387000.0,387333.0,386333.0,387667.0,393000.0,394000.0,397333.0,407417.0,430750.0,450750.0,465000.0,468333.0,471667.0,468500.0,465167.0,461833.0,463333.0,460000.0,463250.0,466583.0,478250.0,488333.0,494667.0,501333.0,504667.0,504667.0,501333.0,494667.0,491667.0,490000.0,493333.0,500000.0,510833.0,517500.0,524500.0,526333.0,528333.0,524333.0,519333.0,517333.0,519333.0,521667.0,523333.0,527667.0,537667.0,550667.0,558533.0,560533.0,559200.0,555333.0,556333.0,554667.0,554250.0,551250.0,550583.0,557667.0,568167.0,582167.0,592167.0,599667.0,601333.0,601333.0,596667.0,598333.0,597333.0,597333.0,600667.0,608333.0,620000.0,628333.0,637679.0,642679.0,642679.0,635000.0,630000.0,625667.0,620667.0,612667.0,608667.0,615333.0,628333.0,636667.0,642667.0,649333.0,649333.0,648333.0,642417.0,642417.0,644083.0,646333.0,649667.0,656333.0,658333.0,658333.0,660000.0,677500.0,700833.0,719167.0,726667.0,728333.0,725000.0,721667.0,729000.0,745667.0,772333.0,795000.0,813333.0,820000.0,823333.0,822333.0,824000.0,824000.0,830833.0,832500.0,842500.0,860000.0,891667.0,912500.0,914167.0,897500.0,880000.0,863333.0,851833.0,840167.0,826833.0,818333.0,816667.0,827500.0,839167.0,854167.0,873333.0
394463,3,"Chicago, IL",msa,IL,230833.0,233333.0,236667.0,241667.0,243667.0,236667.0,230000.0,221333.0,216667.0,209483.0,206900.0,207733.0,209917.0,212500.0,215000.0,218333.0,219000.0,215667.0,208667.0,201000.0,196000.0,196333.0,193333.0,195000.0,195000.0,200000.0,205000.0,208333.0,215000.0,206667.0,201500.0,191467.0,189800.0,186004.0,183538.0,181838.0,182467.0,184967.0,191667.0,196167.0,197833.0,189500.0,178333.0,166667.0,161667.0,158333.0,155983.0,157983.0,165733.0,176417.0,187750.0,192333.0,192333.0,184833.0,175000.0,169300.0,165133.0,162967.0,158000.0,160004.0,170337.0,183504.0,198167.0,207500.0,212301.0,205135.0,195135.0,186500.0,183667.0,181333.0,177667.0,178492.0,185825.0,199992.0,214000.0,220667.0,222833.0,213667.0,205333.0,195333.0,190833.0,187833.0,186500.0,192917.0,201750.0,214083.0,221500.0,225650.0,224317.0,217483.0,209167.0,202833.0,198250.0,194917.0,190917.0,194000.0,205333.0,218833.0,228167.0,229167.0,226667.0,218000.0,211333.0,206000.0,205333.0,204667.0,203500.0,208500.0,217833.0,229333.0,237633.0,238633.0,236133.0,227833.0,220833.0,216900.0,215233.0,215733.0,217667.0,222917.0,230750.0,237250.0,243667.0,243667.0,240000.0,231667.0,225000.0,222500.0,219500.0,218500.0,218333.0,224417.0,232083.0,239750.0,245000.0,246667.0,245000.0,238258.0,232924.0,229558.0,227967.0,225967.0,224333.0,232000.0,243000.0,251300.0,252633.0,255633.0,262000.0,264667.0,263000.0,258333.0,255833.0,252500.0,250833.0,256667.0,267667.0,281000.0,289333.0,291000.0,288333.0,281667.0,276500.0,274167.0,272500.0,271000.0,269333.0,274333.0,286333.0,299000.0,310667.0,311000.0,306667.0,294967.0,284967.0,278300.0,273333.0,270000.0,269000.0,275633.0,287300.0,300633.0,314000.0
394514,4,"Dallas, TX",msa,TX,142567.0,146867.0,149633.0,152800.0,152833.0,147833.0,143333.0,138000.0,136167.0,131833.0,133000.0,133500.0,137820.0,141987.0,148320.0,152667.0,152667.0,148667.0,144333.0,140489.0,138823.0,135489.0,136000.0,138333.0,144333.0,147667.0,150000.0,152333.0,153333.0,149667.0,144667.0,140333.0,141667.0,140275.0,140241.0,138108.0,140167.0,143200.0,147453.0,150619.0,151453.0,148817.0,144984.0,140150.0,140000.0,138833.0,140500.0,143667.0,149800.0,156467.0,160633.0,163333.0,162667.0,160333.0,156667.0,154500.0,153667.0,151667.0,152167.0,155333.0,164500.0,172800.0,178467.0,181633.0,181000.0,178000.0,173667.0,170000.0,169000.0,165667.0,166667.0,169333.0,176000.0,181333.0,187000.0,191000.0,192300.0,187967.0,183967.0,181333.0,183000.0,183000.0,184000.0,186667.0,194167.0,203279.0,210317.0,212817.0,211705.0,205833.0,202167.0,198333.0,198933.0,197550.0,200050.0,204617.0,212483.0,220817.0,228333.0,231183.0,230517.0,226000.0,224500.0,223833.0,225166.0,225667.0,227179.0,230976.0,237976.0,244797.0,249467.0,250800.0,250467.0,246333.0,243333.0,240600.0,242267.0,240600.0,243317.0,247650.0,255950.0,262300.0,266967.0,268667.0,265633.0,258300.0,253267.0,249633.0,250300.0,246998.0,247298.0,249965.0,257633.0,266000.0,271000.0,273333.0,271667.0,267333.0,265000.0,261642.0,262642.0,261642.0,263333.0,266000.0,272667.0,275000.0,279000.0,284000.0,291667.0,295000.0,296603.0,297270.0,297603.0,294178.0,298512.0,306512.0,320000.0,333333.0,345000.0,353333.0,353333.0,351667.0,350667.0,352333.0,355667.0,356833.0,362267.0,371500.0,391533.0,409433.0,420200.0,418333.0,409750.0,398917.0,390583.0,382500.0,373333.0,363333.0,362333.0,367083.0,377083.0,384750.0,395000.0
394692,5,"Houston, TX",msa,TX,143575.0,145275.0,149275.0,152333.0,153333.0,151633.0,144733.0,136742.0,130672.0,127905.0,128563.0,131300.0,137967.0,144633.0,151167.0,155500.0,157500.0,154333.0,148667.0,144333.0,141000.0,140000.0,139333.0,141667.0,144667.0,146667.0,148000.0,149683.0,150683.0,149617.0,146306.0,144306.0,145006.0,141300.0,141633.0,138300.0,142967.0,144617.0,149650.0,151734.0,151751.0,148418.0,146333.0,143667.0,144333.0,139592.0,137259.0,138259.0,145667.0,153833.0,158200.0,161200.0,159000.0,154967.0,151800.0,152500.0,153667.0,149833.0,148572.0,150405.0,160072.0,167333.0,174783.0,177617.0,178617.0,174833.0,171000.0,168000.0,167667.0,167167.0,167500.0,167832.0,172665.0,177998.0,182985.0,186652.0,188985.0,188000.0,184633.0,181217.0,183550.0,182917.0,183542.0,184208.0,189375.0,196967.0,201967.0,205800.0,204000.0,198333.0,193000.0,187667.0,188833.0,188167.0,189333.0,189417.0,194085.0,201585.0,208668.0,213333.0,213333.0,209667.0,204667.0,203000.0,204000.0,202333.0,200667.0,202500.0,208833.0,216167.0,220333.0,221667.0,220983.0,218483.0,215817.0,212500.0,210000.0,207517.0,208517.0,211817.0,220296.0,225963.0,229996.0,231000.0,229333.0,225000.0,221300.0,218967.0,219633.0,217167.0,216933.0,218933.0,225600.0,233167.0,238183.0,239683.0,238183.0,234167.0,230833.0,227667.0,229667.0,228000.0,229333.0,229667.0,235333.0,237250.0,241583.0,249417.0,256833.0,258500.0,256667.0,257667.0,260667.0,259167.0,261833.0,268817.0,281283.0,291617.0,299633.0,303333.0,303333.0,298000.0,296417.0,298083.0,303417.0,304333.0,307983.0,311650.0,323650.0,334000.0,343333.0,345000.0,337667.0,330000.0,321333.0,316333.0,311000.0,306300.0,305633.0,307633.0,314333.0,321667.0,329000.0
395209,6,"Washington, DC",msa,VA,353667.0,357667.0,364333.0,367667.0,362667.0,346000.0,327333.0,310983.0,304317.0,300317.0,296667.0,296667.0,296667.0,305000.0,313333.0,323667.0,325333.0,317400.0,304667.0,295000.0,290600.0,284667.0,282667.0,281633.0,293300.0,301633.0,313300.0,324467.0,326133.0,324500.0,316667.0,319983.0,320567.0,310567.0,302250.0,300000.0,311667.0,326000.0,339333.0,347000.0,344608.0,331275.0,316942.0,308333.0,303333.0,299150.0,292483.0,300817.0,315333.0,337000.0,352000.0,356667.0,353333.0,341667.0,331667.0,327000.0,325333.0,323667.0,320000.0,325000.0,340000.0,358333.0,374439.0,380949.0,379282.0,365568.0,354058.0,347058.0,347167.0,344750.0,341417.0,342500.0,353217.0,368550.0,381633.0,385450.0,380700.0,367367.0,359250.0,353333.0,356667.0,352333.0,352833.0,354467.0,366433.0,378267.0,385965.0,384665.0,376732.0,365150.0,358150.0,356050.0,354217.0,352550.0,348916.0,352902.0,361236.0,374566.0,384663.0,386330.0,381667.0,370000.0,362167.0,357167.0,358833.0,356667.0,353333.0,355000.0,368300.0,384963.0,397567.0,399267.0,394271.0,381333.0,371333.0,368000.0,371667.0,370983.0,369317.0,374283.0,387633.0,400967.0,409333.0,408333.0,404667.0,391483.0,384817.0,378483.0,382500.0,380833.0,380167.0,382167.0,394001.0,406334.0,416001.0,417500.0,414167.0,401667.0,396333.0,394667.0,399667.0,394967.0,394966.0,403300.0,420000.0,431667.0,434667.0,440667.0,445633.0,447615.0,443282.0,438315.0,435000.0,427981.0,422981.0,429648.0,447500.0,470667.0,485667.0,489833.0,483333.0,471667.0,466333.0,463000.0,461333.0,450000.0,449083.0,464050.0,495717.0,523300.0,533333.0,527000.0,513667.0,495333.0,486567.0,478233.0,472400.0,460500.0,462167.0,476000.0,502967.0,526300.0,543300.0
394974,7,"Philadelphia, PA",msa,PA,208800.0,214467.0,220333.0,227000.0,230500.0,226167.0,219500.0,210333.0,205000.0,200333.0,197333.0,197333.0,199767.0,206100.0,214433.0,220333.0,221667.0,216333.0,209333.0,203000.0,200000.0,203333.0,203667.0,205000.0,204967.0,207967.0,215800.0,221500.0,226500.0,222333.0,215333.0,208983.0,205650.0,205083.0,202883.0,199550.0,198083.0,200300.0,210300.0,216967.0,220967.0,213967.0,207000.0,199408.0,196408.0,195075.0,191633.0,189967.0,191633.0,201667.0,213333.0,221633.0,223300.0,217967.0,209667.0,205000.0,203667.0,201333.0,195167.0,193500.0,197500.0,208000.0,219667.0,229667.0,233333.0,225000.0,215000.0,205667.0,203417.0,201750.0,197750.0,195833.0,197467.0,206550.0,218476.0,227509.0,230093.0,223333.0,215167.0,210750.0,208083.0,206583.0,199333.0,198667.0,200000.0,210000.0,220333.0,227667.0,229333.0,223833.0,218467.0,211800.0,206633.0,202333.0,199000.0,198333.0,202333.0,212333.0,225375.0,233042.0,234708.0,228500.0,222733.0,218067.0,216900.0,212667.0,207333.0,206633.0,213267.0,223933.0,234967.0,240667.0,241333.0,233000.0,226000.0,222000.0,221633.0,219600.0,216350.0,217383.0,220750.0,228333.0,236333.0,243000.0,245417.0,240083.0,233383.0,229300.0,226633.0,225000.0,221667.0,224242.0,229242.0,237575.0,247333.0,255667.0,259917.0,252583.0,245083.0,240833.0,240800.0,241300.0,237967.0,241333.0,251083.0,258583.0,263583.0,267500.0,275833.0,279833.0,276500.0,273167.0,270833.0,269167.0,265000.0,264667.0,269633.0,278967.0,292633.0,302667.0,310000.0,303917.0,297083.0,291067.0,288817.0,286367.0,280717.0,282383.0,290667.0,307333.0,325000.0,334333.0,336000.0,328333.0,321333.0,316333.0,312667.0,308000.0,303000.0,305000.0,310833.0,322500.0,337500.0
394856,8,"Miami, FL",msa,FL,243333.0,242833.0,246925.0,248592.0,247425.0,236667.0,226633.0,216633.0,209967.0,197333.0,188000.0,179667.0,174000.0,171667.0,176667.0,183333.0,185000.0,180000.0,173667.0,168000.0,166000.0,161333.0,158667.0,155667.0,156667.0,159000.0,160667.0,162333.0,161667.0,158333.0,155333.0,152000.0,150333.0,145833.0,142500.0,136833.0,139333.0,144333.0,151667.0,153333.0,151667.0,146667.0,143333.0,140333.0,141000.0,140967.0,140633.0,139967.0,143333.0,149250.0,157583.0,161357.0,162107.0,160441.0,160000.0,161667.0,164333.0,163333.0,161667.0,162333.0,169333.0,178000.0,187967.0,195300.0,199967.0,197667.0,192683.0,189350.0,191017.0,192000.0,190333.0,191000.0,194667.0,206333.0,216333.0,225000.0,223333.0,218333.0,215000.0,215000.0,216650.0,216483.0,217817.0,218467.0,221133.0,227100.0,233133.0,237967.0,237333.0,233083.0,228750.0,226417.0,227333.0,227333.0,227667.0,227667.0,231333.0,236000.0,242667.0,246000.0,246667.0,245833.0,244167.0,242467.0,241633.0,241633.0,241667.0,243000.0,246333.0,252333.0,260000.0,263583.0,265917.0,260583.0,257000.0,254333.0,256667.0,258333.0,258333.0,259000.0,262333.0,266667.0,271667.0,273333.0,273333.0,269417.0,269417.0,270417.0,271000.0,268667.0,266667.0,269667.0,274000.0,278333.0,282000.0,286333.0,288000.0,285333.0,284833.0,285800.0,286800.0,285133.0,285833.0,290833.0,298333.0,303333.0,306667.0,311667.0,318333.0,321667.0,323333.0,323333.0,325667.0,327333.0,330667.0,333333.0,340000.0,345000.0,353333.0,356667.0,359983.0,358317.0,358317.0,360950.0,367617.0,372617.0,379167.0,387500.0,396833.0,409333.0,419333.0,424083.0,420750.0,414083.0,413333.0,411667.0,408333.0,408667.0,413667.0,425333.0,436333.0,446333.0,456333.0
394347,9,"Atlanta, GA",msa,GA,172167.0,175967.0,179267.0,179467.0,176133.0,167833.0,161633.0,153167.0,150404.0,146738.0,146738.0,146374.0,146141.0,148641.0,152433.0,158300.0,159300.0,155933.0,151633.0,149300.0,145000.0,139525.0,134792.0,134125.0,139267.0,144000.0,146300.0,143967.0,138633.0,133683.0,127017.0,124683.0,125633.0,126633.0,124283.0,120552.0,118886.0,121236.0,124500.0,127833.0,132167.0,132667.0,132167.0,128500.0,125167.0,121864.0,120697.0,125697.0,136133.0,146733.0,154917.0,158283.0,156483.0,150800.0,144100.0,141133.0,143200.0,142233.0,145233.0,151000.0,162000.0,173667.0,180833.0,187467.0,185467.0,178633.0,170333.0,164000.0,164000.0,162333.0,162333.0,164967.0,173133.0,183133.0,190833.0,194000.0,191633.0,183967.0,175967.0,172333.0,172333.0,171833.0,172833.0,176167.0,183333.0,193483.0,199483.0,202817.0,197633.0,191633.0,184967.0,182667.0,183750.0,183400.0,182891.0,183474.0,190491.0,199333.0,205000.0,207633.0,203300.0,196267.0,189467.0,187800.0,188833.0,188167.0,188133.0,191800.0,199842.0,206875.0,212875.0,215333.0,215000.0,210667.0,208000.0,207000.0,209333.0,209650.0,212350.0,216650.0,224000.0,231467.0,236167.0,236500.0,232333.0,228667.0,226333.0,225333.0,224000.0,222000.0,222000.0,226333.0,233000.0,242333.0,248333.0,252000.0,250108.0,245775.0,242075.0,241300.0,242300.0,241000.0,242333.0,247000.0,256667.0,259000.0,260667.0,263967.0,271633.0,275300.0,276667.0,276667.0,276867.0,275533.0,278200.0,286333.0,299300.0,312300.0,323667.0,330700.0,331367.0,329350.0,330555.0,335555.0,339538.0,338333.0,340033.0,346367.0,359700.0,374667.0,385000.0,387233.0,380567.0,370567.0,361967.0,355300.0,351300.0,344333.0,343933.0,347600.0,358267.0,367000.0,377333.0
